epoch,dropout,skip_connections,lr,swa_lr,batch_size,train_acc,val_acc,swa_val_acc
1,0.1,False,0.0009800418524648674,0.05,128,0.7457761650980836,0.9444746869896571,0.9557249138087461
2,0.1,False,0.0009800418524648674,0.05,128,0.9504478965869146,0.9502812556704773,0.9557249138087461
3,0.1,False,0.0009800418524648674,0.05,128,0.9560607778659712,0.9575394665215025,0.9557249138087461
4,0.1,False,0.0009800418524648674,0.05,128,0.9583286086857921,0.9588096534204319,0.9557249138087461
5,0.1,False,0.0009800418524648674,0.05,128,0.9587254790792606,0.9608056614044638,0.9557249138087461
6,0.1,False,0.0009800418524648674,0.05,128,0.959632611407189,0.9577209217927781,0.9557249138087461
7,0.1,False,0.0009800418524648674,0.05,128,0.9599727860301621,0.9609871166757394,0.9557249138087461
8,0.1,False,0.0009800418524648674,0.05,128,0.9621839210794875,0.961712937760842,0.9557249138087461
9,0.1,False,0.0009800418524648674,0.05,128,0.9584986959972785,0.9571765559789512,0.9557249138087461
10,0.1,False,0.0009800418524648674,0.05,128,0.9545866878330876,0.9393939393939394,0.9557249138087461
11,0.1,False,0.0009800418524648674,0.05,128,0.949937634652455,0.9324986390854655,0.9557249138087461
12,0.1,False,0.0009800418524648674,0.05,128,0.9536795555051593,0.9493739793140991,0.9557249138087461
