epoch,dropout,skip_connections,lr,swa_lr,batch_size,train_acc,val_acc,swa_val_acc
1,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.5917904524322486,0.6677553982943204,0.9334059154418436
2,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.6610726839777753,0.7054980947196516,0.9334059154418436
3,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.7223608118834335,0.7475957176555978,0.9334059154418436
4,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.8052500283478853,0.8426782798040283,0.9334059154418436
5,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.8750425218278717,0.8972963164579931,0.9334059154418436
6,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.9117246853384737,0.926329159862094,0.9334059154418436
7,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.9291869826510942,0.9404826710215932,0.9334059154418436
8,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.9400158748157388,0.9437488659045545,0.9334059154418436
9,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.9448917110783536,0.9577209217927781,0.9334059154418436
10,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.9416033563896133,0.9557249138087461,0.9334059154418436
11,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.9416033563896133,0.943023044819452,0.9334059154418436
12,0.4692192240485332,True,2.7115637429045572e-05,0.030137734401698785,16,0.9256718448803719,0.9452005080747595,0.9334059154418436
