epoch,dropout,skip_connections,lr,swa_lr,batch_size,train_acc,val_acc,swa_val_acc
1,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.8954529992062592,0.9511885320268554,0.952821629468336
2,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9555505159315115,0.9584467428778806,0.952821629468336
3,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9558906905544846,0.9589911086917075,0.952821629468336
4,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9578750425218279,0.9546361821810924,0.952821629468336
5,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9579317382923234,0.9595354745055343,0.952821629468336
6,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9593491325547114,0.9600798403193613,0.952821629468336
7,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9600861775711532,0.9600798403193613,0.952821629468336
8,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9598593944891711,0.9598983850480857,0.952821629468336
9,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.956911214423404,0.9571765559789512,0.952821629468336
10,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.951468420455834,0.9533659952821629,0.952821629468336
11,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9489738065540311,0.9557249138087461,0.952821629468336
12,0.28818088083867377,True,0.0010694900466115514,0.02671548580689009,32,0.9451751899308312,0.9530030847396117,0.952821629468336
