epoch,dropout,skip_connections,lr,swa_lr,batch_size,train_acc,val_acc,swa_val_acc
1,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.5077673205578864,0.5572491380874615,0.8902195608782435
2,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.5090713232792834,0.5724913808746144,0.8902195608782435
3,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.5306724118380769,0.6285610596987843,0.8902195608782435
4,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.55658237895453,0.6697514062783524,0.8902195608782435
5,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.60392334731829,0.713663581927055,0.8902195608782435
6,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.6923687492913029,0.812375249500998,0.8902195608782435
7,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.8373398344483501,0.9170749410270368,0.8902195608782435
8,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.9172808708470348,0.9433859553620033,0.8902195608782435
9,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.934062818913709,0.9531845400108874,0.8902195608782435
10,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.909683637600635,0.9315913627290873,0.8902195608782435
11,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.9243678421589749,0.9038287062239158,0.8902195608782435
12,0.8682809194908693,False,0.00027265097430827104,0.033940318419384434,64,0.9266356729787958,0.9432045000907276,0.8902195608782435
