epoch,dropout,skip_connections,lr,swa_lr,batch_size,train_acc,val_acc,swa_val_acc
1,0.9,False,7.559994681513158e-05,0.0001,8,0.5020977435083342,0.52948648158229,0.9455634186173109
2,0.9,False,7.559994681513158e-05,0.0001,8,0.5102619344596893,0.5519869352204682,0.9455634186173109
3,0.9,False,7.559994681513158e-05,0.0001,8,0.506633405147976,0.5570676828161858,0.9455634186173109
4,0.9,False,7.559994681513158e-05,0.0001,8,0.5116226329515818,0.5777535837416077,0.9455634186173109
5,0.9,False,7.559994681513158e-05,0.0001,8,0.5205805646898741,0.6229359462892397,0.9455634186173109
6,0.9,False,7.559994681513158e-05,0.0001,8,0.5466039233473183,0.7183814189802213,0.9455634186173109
7,0.9,False,7.559994681513158e-05,0.0001,8,0.7448123369996599,0.892397024133551,0.9455634186173109
8,0.9,False,7.559994681513158e-05,0.0001,8,0.8889329855992743,0.9368535655960806,0.9455634186173109
9,0.9,False,7.559994681513158e-05,0.0001,8,0.9229504478965869,0.9471965160587915,0.9455634186173109
10,0.9,False,7.559994681513158e-05,0.0001,8,0.9310012473069509,0.9491925240428234,0.9455634186173109
11,0.9,False,7.559994681513158e-05,0.0001,8,0.9341762104547001,0.9517328978406823,0.9455634186173109
12,0.9,False,7.559994681513158e-05,0.0001,8,0.9385984805533507,0.9546361821810924,0.9455634186173109
