epoch,dropout,skip_connections,lr,swa_lr,batch_size,train_acc,val_acc,swa_val_acc
1,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.8087651661186076,0.9424786790056251,0.9595354745055343
2,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9389386551763238,0.9274178914897477,0.9595354745055343
3,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9508447669803832,0.952821629468336,0.9595354745055343
4,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9499943304229505,0.9410270368354201,0.9595354745055343
5,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9493139811770042,0.9493739793140991,0.9595354745055343
6,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9527157274067355,0.9544547269098167,0.9595354745055343
7,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9557772990134936,0.9569951007076756,0.9595354745055343
8,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9565710398004309,0.9584467428778806,0.9595354745055343
9,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9548134709150697,0.9586281981491562,0.9595354745055343
10,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9564576482594398,0.9566321901651244,0.9595354745055343
11,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9590089579317382,0.9564507348938487,0.9595354745055343
12,0.5484563683959148,False,0.0063128097006808805,0.0001,64,0.9577616509808369,0.9595354745055343,0.9595354745055343
