epoch,dropout,skip_connections,lr,swa_lr,batch_size,train_acc,val_acc,swa_val_acc
1,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.5112257625581131,0.570676828161858,0.6721103248049356
2,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.548418188003175,0.6069678824169842,0.6721103248049356
3,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.5703594511849416,0.6312828887679187,0.6721103248049356
4,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.5974600294818007,0.6329159862093994,0.6721103248049356
5,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.6247873908606418,0.6693884957358012,0.6721103248049356
6,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.6487130060097517,0.6820903647250952,0.6721103248049356
7,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.6739426238802585,0.7036835420068953,0.6721103248049356
8,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.6938428393241864,0.7267283614589004,0.6721103248049356
9,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.8800884454019731,0.9522772636545092,0.6721103248049356
10,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.9483501530785803,0.9564507348938487,0.6721103248049356
11,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.9340061231432135,0.9216113228089275,0.6721103248049356
12,0.46090595999494577,False,1.4969417102087583e-05,0.04806251235495315,64,0.950164417734437,0.9564507348938487,0.6721103248049356
